id,connector,efficiency_lens,role,prompt
EFF-058,Google Sheets,locked,ops,Google Sheets only — do not call POS connectors. Yesterday's sheet total for Downtown sales.
EFF-059,Google Sheets,compressed,ops,"Google Sheets only. Overnight changes on 'Ops KPIs' in ≤3 bullets, max 40 words."
EFF-060,Google Sheets,idle,ops,"Google Sheets only. Any #REF! or stale-import flags on 'Daily Close'? If none, reply exactly: CLEAR."
EFF-061,Google Drive,direct,ops,Google Drive only. One answer: link (or file id) of the latest 'Q3 workbook'.
EFF-062,Google Drive,scoped,ops,Google Drive only. Files shared with ops in the last 7 days. Name + sharer. Cap 5.
EFF-063,Google Drive,single_pass,ops,"Google Drive only. If 'Q3 workbook' is not shared with ops, prepare a share action for L. Chen to approve and create a Docs task due Thursday. Else reply exactly: CLEAR."
EFF-064,Google Drive,locked,ops,Google Drive only — do not open Sheets cells. Who has edit access on the franchise playbook PDF? Names only.
EFF-065,Google Drive,compressed,ops,Google Drive only. Describe the latest board-pack PDF in ≤25 words.
EFF-066,Google Drive,idle,ops,"Google Drive only. Any files pending external share approval? If none, reply exactly: CLEAR."
EFF-067,Discord,direct,ops,Discord only. One number: messages in #incidents since yesterday 17:00.
EFF-068,Discord,scoped,ops,Discord only. Last 5 messages in #incidents. Author + first 80 chars. No extras.
EFF-069,Discord,single_pass,ops,"Discord only. Draft this week's ops digest for #announcements from pinned brief if present (do not post). If nothing to say, reply exactly: CLEAR."
EFF-070,Discord,locked,ops,"Discord only — do not read Slack. Open action items mentioned in #ops today. Bullets, max 5."
EFF-071,Discord,compressed,ops,Discord only. Summarize #incidents since yesterday in ≤30 words.
EFF-072,Discord,idle,ops,"Discord only. Any unread @here/@everyone in ops channels today? If none, reply exactly: CLEAR."
EFF-073,Slack,direct,ops,Slack only. One number: open reminders for me due today.
EFF-074,Slack,scoped,ops,"Slack only. Decisions recorded in #ops-standup today. Bullets, max 5. No filler."
EFF-075,Slack,single_pass,ops,"Slack only. Draft a #finance alert about any payout gap keyword in today's #finance thread (do not send). If none, reply exactly: CLEAR."
EFF-076,Slack,locked,ops,Slack only — do not read Discord or Gmail. Unresolved questions in #ops from the last 4 hours. Max 3 lines.
EFF-077,Slack,compressed,ops,Slack only. #incidents last 24h in ≤25 words.
EFF-078,Slack,idle,ops,"Slack only. Any failed workflow notifications in the last hour? If none, reply exactly: CLEAR."
EFF-079,Dodo,direct,ops,Dodo only. One number: failed payments in the last 24 hours.
EFF-080,Dodo,scoped,ops,Dodo only. Failure reasons breakdown last 7 days. Reason + count. Top 5 only.
EFF-081,Dodo,single_pass,ops,"Dodo only. If failures last 6h exceed 20, draft a Slack eng alert (do not send) with top reason. Else reply exactly: CLEAR."
EFF-082,Dodo,locked,ops,Dodo only — do not query Shopify. Successful payment count last 24h.
EFF-083,Dodo,compressed,ops,Dodo only. Authorization rate today vs 7-day average in one line.
EFF-084,Dodo,idle,ops,"Dodo only. Any webhook delivery failures in the last hour? If none, reply exactly: CLEAR."
EFF-085,Notion,direct,ops,Notion only. One number: open action items assigned to me in 'Weekly Ops'.
EFF-086,Notion,scoped,ops,Notion only. Overdue items in 'Weekly Ops'. Title + owner + days overdue. Cap 10.
EFF-087,Notion,single_pass,ops,"Notion only. If any 'Weekly Ops' item is overdue >2 days, escalate a task to workspace admin with titles. Else reply exactly: CLEAR."
EFF-088,Notion,locked,ops,Notion only — do not open Drive. Q3 targets from the board-pack page: list targets only.
EFF-089,Notion,compressed,ops,Notion only. Summarize page 'Incident 9/22' in ≤40 words.
EFF-090,Notion,idle,ops,"Notion only. Any database sync errors on 'Weekly Ops'? If none, reply exactly: CLEAR."
EFF-091,Microsoft,direct,ops,Microsoft only. One number: unread Outlook emails from landlords.
EFF-092,Microsoft,scoped,ops,Microsoft only. OneDrive files shared with me this week. Name + sharer. Cap 5.
EFF-093,Microsoft,single_pass,ops,"Microsoft only. If West region is under plan MTD in the regional sales workbook, draft an Outlook status to the regional manager (do not send). Else reply exactly: CLEAR."
EFF-094,Microsoft,locked,ops,Microsoft only — do not use Google Drive/Sheets. Close-checklist items still red in the Excel close file. Names only.
EFF-095,Microsoft,compressed,ops,Microsoft only. Latest landlord email in ≤25 words.
EFF-096,Microsoft,idle,ops,"Microsoft only. Any Outlook rules or connector auth errors? If none, reply exactly: CLEAR."
EFF-097,Square+Toast+Clover,cross,ops,"Efficiency: one pass across Square, Toast, and Clover. Return today's revenue by connector as three numbers only. No prose."
EFF-098,Stripe+Plaid+QuickBooks,cross,ops,"Efficiency: Stripe expected payout vs Plaid deposit vs QuickBooks booking for yesterday. Reply in 3 short lines labeled Stripe/Plaid/QB. If all match within $50, final line: CLEAR."
EFF-099,Google Sheets+Gmail+Slack,cross,ops,"Efficiency: If Sheets 'Ops KPIs' has any variance >5%, draft one Gmail to Finance and one Slack #finance note (neither sent), then stop. If no such variance, reply exactly: CLEAR. Do not narrate."
EFF-100,Shopify+Stripe+Dodo,cross,ops,"Efficiency: In one short table (3 rows), show last-24h failed checkouts/payments for Shopify, Stripe, and Dodo. Counts only. If all zero, reply exactly: CLEAR."
